denominacion,descripcion,actualizacion,fecha,jurisdiccion,nombre_tarjeta_home
Producción de leche a nivel nacional,Millones de litros por año a nivel nacional desde 1970 - 1982 y mensual a partir de 1983 a la fecha,Mensual,2º semestre de 2016,Agroindustria,Agroindustria
Producción de calidad de leche a nivel departamento/partido,Productividad promedio; y promedio de la producción de sólidos útiles y calidad higiénico - sanitaria según departamento/partido (lts/día y %): Enero 2013 a hoy,Mensual,2º semestre de 2016,Agroindustria,Agroindustria
Destino de la producción de leche,Destino de la producción nacional a producto por mes (millones de litros): desde enero 1983 a la fecha,Trimestral,2º semestre de 2016,Agroindustria,Agroindustria
Elaboración de Productos Lácteos,Elaboración de productos lácteos (miles de litros y toneladas): Enero 1989 a la fecha,Mensual,2º semestre de 2016,Agroindustria,Agroindustria
Existencia de Productos Lácteos,Existencias lácteas por principales productos (miles de litros equivalentes): desde Enero1998 a la fecha,Mensual,2º semestre de 2016,Agroindustria,Agroindustria
Precio pagado al productor por litro de leche,Precio promedio por litro ($/litro): Enero 2011 a la fecha,Mensual,2º semestre de 2016,Agroindustria,Agroindustria
Precio pagado al productor por kilo de sólidos en la lecha (grasa y proteínas),Precio promedio por kilo de sólidos ($/kilo): Enero 2011 a la fecha,Mensual,2º semestre de 2016,Agroindustria,Agroindustria
Estimación del consumo de productos lácteos,Consumo total y per cápita de productos lácteos (miles de litros/toneladas): Enero 2000 a la fecha,Mensual,2º semestre de 2016,Agroindustria,Agroindustria
Superficie Forestada,"Superficies forestadas por género, provincia, departamento",Anual,2º semestre de 2016,Agroindustria,Agroindustria
Inventario Nacional de Plantaciones Forestales,"Volúmen de Madera estimada por género, provincia, departamento",Eventual,2º semestre de 2016,Agroindustria,Agroindustria
Extracciones Forestales,"Volúmen de madera extraída de plantaciones forestales, en m3 estimada por provincia por año y por especie",Anual,2º semestre de 2016,Agroindustria,Agroindustria
Industrias de tableros de fibra y de particulas y de pasta de papel y cartón,"Encuesta en donde se releva:cantidad, capacidad instalada, materia prima utilizada, producción y personal ocupado.",Anual,2º semestre de 2016,Agroindustria,Agroindustria
Censo de Aserraderos,"Consite en el relevamiento de cantidad, capacidad instalada, materia prima utilizada, producción, personal ocupado. ",Eventual,2º semestre de 2017,Agroindustria,Agroindustria
Ecuestras de Aserraderos,"Consite en el relevamiento de cantidad, capacidad instalada, materia prima utilizada, producción, personal ocupado. ",Anual,2º semestre de 2017,Agroindustria,Agroindustria
Precios Forestales,Relevamiento de precios de insumos y productos forestales.,Anual,1º semestre de 2017,Agroindustria,Agroindustria
Áreas protegidas terrestres y marinas,"Áreas Protegidas de la Argentina creadas y administradas por organismos nacionales, provinciales, municipales, universitarios, privados, ONGs o Fundaciones.",Eventual,2º semestre de 2016,Ambiente,Ambiente
Registro de Consultores en Estudios de Impacto Ambiental,Nómina de consultores individuales y firmas consultoras que realizan estudios de impacto ambiental,Eventual,1º semestre de 2017,Ambiente,Ambiente
Registro de usuarios para comercialización de fauna silvestre,"Nómina de comerciantes, criadores, exportadores, reexportadores e importadores de animales vivos, productos y subproductos de la fauna silvestre.",Eventual,1º semestre de 2017,Ambiente,Ambiente
Registro de profesionales en la Dirección de Prevención y Recomposición Ambiental,"Nómina de profesionales habilitados para el aval técnico de las presentaciones de la documentación exigida y para la ejecución de tareas inherentes al proyecto, dirección, construcción y operación de plantas de tratamiento de vertidos",Eventual,1º semestre de 2017,Ambiente,Ambiente
Operadores de residuos peligrosos,Nómina de personas físicas o jurídicas registrados como operadores de residuos peligrosos,Eventual,1º semestre de 2017,Ambiente,Ambiente
Transportistas de residuos peligrosos,Nómina de personas físicas o jurídicas registrados como transportistas de residuos peligrosos,Eventual,1º semestre de 2017,Ambiente,Ambiente
Empadronamiento de establecimientos industriales y especiales,"Nómina de establecimientos industriales y/o especiales que produzcan en forma continua o discontinua vertidos industriales o barros originados por la depuración de aquéllos a conductos cloacales, pluviales o a un curso de agua y que se encuentren radicados en:
Capital Federal y en partidos de la Provincia de Buenos Aires adheridos.",Eventual,1º semestre de 2017,Ambiente,Ambiente
Superficie de bosque nativo,Registro histórico correspondiente a la superficie en hectareas cubierta con bosque nativo en el país,Anual,1º semestre de 2017,Ambiente,Ambiente
Consumo de Hidroclorofluorocarbonados (HCFC),"Expresa el consumo de hidroclorofluorocarbonos (HCFC) en el país, de acuerdo con la ecuación establecida por el Protocolo de Montreal: (Consumo = Producción + Importación – Exportación)",Anual,2º semestre de 2016,Ambiente,Ambiente
Emisiones totales de gases de efecto invernadero por sector,Expresa a nivel nacional las emisiones totales de los gases efecto invernadero (GEI) que contribuyen al cambio climático global. ,Eventual,2º semestre de 2016,Ambiente,Ambiente
Generación de residuos sólidos urbanos,Indicador de cantidad de residuos sólidos urbanos (RSU) generados por habitante por día en el transcurso de un año,Eventual,2º semestre de 2016,Ambiente,Ambiente
Composición de los Residuos Sólidos Urbanos (RSU) Promedio en Argentina,Muestra en porcentajes como están compuestos los RSU,Eventual,2º semestre de 2016,Ambiente,Ambiente
"Monto asignado al financiamiento de los Planes de Manejo Sustentable, Conservación y Proyectos de Formulación para bosque nativo",Muestra la distribución del monto anual asignado por tipo de plan,Anual,2º semestre de 2016,Ambiente,Ambiente
Especies por categoría de riesgos,Especies por categoría de riesgos,Eventual,2º semestre de 2016,Ambiente,Ambiente
CITES,"Especies de aves, flora, mamiferos, reptiles de Argentina en la Convención sobre el Comercio Internacional de las Especies Amenazadas de Fauna y Flora Silvestres (CITES)",Eventual,1º semestre de 2017,Ambiente,Ambiente
Cantidad de incendios forestales,"Cantidad de incendios forestales por año y causa, según jurisdicción",Anual,2º semestre de 2016,Ambiente,Ambiente
Biomasa forestal,"Biomasa forestal, incluyendo cantidad de carbono en millones de toneladas de peso seco",Eventual,1º semestre de 2017,Ambiente,Ambiente
Superficie de bosque afectada por incendios,"Superficie afectada por incendios forestales por año y tipo de vegetación, según jurisdicción. En hectáreas",Anual,2º semestre de 2016,Ambiente,Ambiente
Extracción de madera,"Rollos extraídos con destino industrial, postes, leña y otros productos, según especie. En metros cúbicos",Anual,1º semestre de 2017,Ambiente,Ambiente
Extracción de productos forestales no madereros,"Extracción de productos forestales no madereros, por uso. En toneladas",Anual,2º semestre de 2016,Ambiente,Ambiente
Importación y exportación de productos forestales ,Exportación e importación de productos forestales. En toneladas,Anual,2º semestre de 2016,Ambiente,Ambiente
Sitios Ramsar de la República Argentina,"Listado de Sitios Ramsar, humedales en estado de conservación y uso sostenible, de la República Argentina",Eventual,2º semestre de 2016,Ambiente,Ambiente
Consumo de las sustancias agotadoras de ozono en la República Argentina,Consumo (producción más las importaciones menos las exportaciones de sustancias)  de sustancias agotadoras de ozono en la República Argentina,Anual,1º semestre de 2017,Ambiente,Ambiente
Liberaciones de Dioxinas y Furanos,Liberaciones anuales (g EQT/a),Eventual,2º semestre de 2016,Ambiente,Ambiente
Archivo Histórico de la Cancilleria Argentina,"Clasificación del Archivo-Secciones: Documentación original producida por el Ministerio de Relaciones Exteriores y Culto (1810- 2009) relativa a Asuntos Políticos, Económicos, Administrativos, Consulares y de Culto. Material producido por la Representaciones Diplomáticas y Consulares argentinas en el exterior. Fondos personales donados. Documentación desclasificada en el marco de los trabajos de la Comisión de Relevamiento para la Recuperación de la Memoria Histórica.",Semestral,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Estadísticas del Instituto del Servicio Exterior de la Nación ,"Cantidad de inscriptos al concurso e ingresantes al Instituto del Servicio Exterior de la Nación desde 2006 al 2016: cantidad por universidad, procedencia, carrera y género",Anual,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Promoción comercial y desarrollo de inversiones ,"Ficha país Argentina (Trade Net): Directorio de Exportadores, listado de Importadores, Oportunidades Comerciales, Licitaciones Internacionales, Información sobre Mercados Externos, Guía de Negocios, Ferias y Exportaciones.",Anual,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Registro de Institutos de Vida Consagrada,"Registro de Institutos de Vida Consagrada, incluyendo nombre, resolución, fecha y registro ",Semestral,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Registro Nacional de Cultos ,"Registro Nacional de Cultos, incluyendo nombre de la entidad, número de inscripción, provincia, ciudad, dirección. Información sobre trámites ",Semestral,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Comisión Cascos Blancos,1994/2016: Cantidad de Misiones de Asistencia Humanitaria (detalle por región). Entrega de Ayuda Humanitaria. Cantidad de Misiones de Capacitación. Cantidad de Voluntarios desplazados en misiones. Países donde Cascos Blancos actúo. Envíos de insumos humanitarios en el 1er semestre de 2016.,Anual,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Representraciones extranjeras en Argentina,Listado de representaciones extranjeras en la Argentina,Eventual,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Representaciones Argentinas en el exterior,Listado de representaciones argentinas en el extranjero,Eventual,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Organismos Internacionales,Listado de Organismos Internacionales con sede en la Argentina,Eventual,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
Directorio Telefónico,Directorio telefónico de emergencias consulares argentinos en el exterior.,Eventual,2º semestre de 2016,Relaciones Exteriores,Relaciones Exteriores
"Proyectos de ciencia, tecnología e innovación","Proyectos de ciencia, tecnología e innovación, incluyendo montos totales aprobados y financiados, fecha de inicio, provincia de ejecución,  región de ejecución, tipo de proyecto, gran área del conocimiento  (para proyectos de I+D) y tipo de institución de ejecución.",Anual,2º semestre de 2016,Ciencia y Tecnología,Ciencia y Tecnología
"Empresas de ejecución de proyectos de ciencia, tecnología e innovación","Empresas de ejecución de proyectos de ciencia, tecnología e innovación, cantidad de proyectos, tipo de proyectos,  provincia argentina y fecha de inicio.",Anual,2º semestre de 2016,Ciencia y Tecnología,Ciencia y Tecnología
Equipamiento  científico-tecnológico,Equipamiento  científico-tecnológico según tipo de institución y provincia de localización.,Anual,2º semestre de 2016,Ciencia y Tecnología,Ciencia y Tecnología
"Instituciones del Sistema Nacional de
Ciencia y Tecnología Argentino","Instituciones del Sistema Nacional de Ciencia y Tecnología Argentino según tipo de institución, provincia de localización, tipo de recursos humanos, máximo nivel educativo alcanzado, disciplina de experticia.",Anual,2º semestre de 2016,Ciencia y Tecnología,Ciencia y Tecnología
Recursos humanos en Ciencia y Tecnología,"Recursos humanos en Ciencia y Tecnología por provincia, máximo nivel educativo alcanzado, género, rangos de edad, tipo de personal de I+D y gran área del conocimiento  de la formación de grado,  tipo de institución de trabajo,  categoría en CONICET y categoría en el Programa de Incentivos a
los Docentes Investigadores.",Anual,2º semestre de 2016,Ciencia y Tecnología,Ciencia y Tecnología
Asistencia Directa por Situaciones Especiales (DADSE),Ayuda Directa a personas para adquirir medicación de alto costo y/o elementos de tecnología biomédica.,Semestral,2º semestre de 2016,Desarrollo Social,Desarrollo Social
Prohuerta  ,"En el marco del Plan Nacional de Seguridad Alimentaria y Nutricional,  listado de huertas comunitarias, escolares y familiares como fuente de alimentos y/o ingresos para personas en situación de vulnerabilidad social. ",Semestral,2º semestre de 2016,Desarrollo Social,Desarrollo Social
Fortalecimiento institucional a Organizaciones de la Sociedad Civil,Cantidad de proyectos sociales de Fortalecimiento Institucional a Organizaciones de la Sociedad Civil.,Anual,1º semestre de 2017,Desarrollo Social,Desarrollo Social
Espacios de Primera Infancia ,"Cantidad de Espacios de Primera Infancia  en el marco del Plan Nacional de Primera Infancia para la atención integral, contención y estimulación temprana de niños y niñas. ",Anual,1º semestre de 2017,Desarrollo Social,Desarrollo Social
Asistencia ante emergencias climáticas o catástrofes,Informe de las asistencias por emergencias climáticas y catástrofes naturales o accidentales.,Anual,1º semestre de 2017,Desarrollo Social,Desarrollo Social
Plan Creer y Crear,"En el marco del Plan Nacional de Economía Social, cantidad de proyectos de fortalecimiento institucional, productivo y de servicios, a fin de consolidar los emprendimientos de la economía social regional. ",Anual,1º semestre de 2017,Desarrollo Social,Desarrollo Social
Comisión Nacional del Microcrédito (CONAMI) ,"Información de los microcréditos otorgados a una baja tasa de interés, destinados para proyectos productivos, comerciales o de servicios que necesiten insumos y maquinaria para fortalecer su actividad. Emprendedores y Organizaciones ejecutoras alcanzadas.",Semestral,2º semestre de 2016,Desarrollo Social,Desarrollo Social
Centros de Referencia (CDR),Cantidad de delegaciones del Ministerio de Desarrollo Social en territorio federal. ,Anual,1º semestre de 2017,Desarrollo Social,Desarrollo Social
Monotributo Social ,"Cantidad de titulares y adherentes alcanzados por el Monotributo Social, categoria tributaria que permite ingresar al sistema previsional a las personas en situación de vulnerabilidad social. Brinda la posibilidad de emitir facturas, acceder a una obra social. ",Anual,1º semestre de 2017,Desarrollo Social,Desarrollo Social
Formación de  Cuidadores Domiciliarios - DINAPAM,Listado de capacitaciones y certificaciones a miembros de la comunidad sin empleo para que puedan cuidar y brindar atención primaria a adultos mayores o enfermos crónicos. ,Anual,1º semestre de 2017,Desarrollo Social,Desarrollo Social
Obras de energía eléctrica y de gas natural,"Seguimiento, grado de avance y descripción de obras de energía eléctrica y de gas natural.",Eventual,2º semestre de 2016,Energía y Minería,Energía y Minería
Balance Energético Nacional ,"Oferta, transformación y demanda de energía eléctrica",Anual,2º semestre de 2016,Energía y Minería,Energía y Minería
Factor de emisión de la red eléctrica,Factores de emisión de GEI asociados a la generación eléctrica.,Anual,2º semestre de 2016,Energía y Minería,Energía y Minería
Cantidad de usuarios,Cantidad de usuarios por tipo y por distribuidora,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Demanda máxima de potencia,Demanda máxima de potencia del Sistema Interconectado Nacional,Anual,1º semestre de 2017,Energía y Minería,Energía y Minería
Grandes usuarios del MEM ,Demandas de grandes usuarios por jurisdicción y sector,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Distribución de energía eléctrica,Distribución por provincia y por distribuidora,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Redes de distribución,Capa geográfica de redes de media distribución por distribuidora,Eventual,2º semestre de 2016,Energía y Minería,Energía y Minería
Consumos eléctrico de Edificios públicos,Consumo de Edificios públicos por periodos en Media y Alta Tensión,Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
PRONUREE,Luminarias residenciales reemplazadas por municipio,Trimestral,1º semestre de 2017,Energía y Minería,Energía y Minería
Renovate Heladeras y Lavarropas,Compra de heladeras y lavarropas en el marco del plan Renovate,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Estadísticas de medicina nuclear,Instalaciones y provisión de servicios de medicina nuclear.,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Mapa nuclear argentino,"Información geográfica relacionada con: Centros Atómicos, Reactores de investigación, Centrales Nucleares de Potencia en Operación, Central Nuclear de Potencia en Construcción, Centros de Medicina Nuclear Operativos, Instalaciones de Medicina Nuclear, Polo Tecnológico, Localización de Actividad Minera, Aceleradores de Partículas para Producción de Radioisótopos, Instalaciones con Aplicaciones Industriales, Plantas de Irradiación para Usos Medicinales, Planta de Enriquecimiento de Uranio, Planta de Purificación de Uranio, Centros de Medicina Nuclear en Ejecución, Aceleradores de Partículas para Investigación, Fábrica de Combustibles Nucleares e Institutos de Formación Académica.",Eventual,2º semestre de 2017,Energía y Minería,Energía y Minería
Producción de Radioisótopos,"Serie de producción de radioisótopos nucleares para fines no energéticos,",Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Servicios de irradiación,Información sobre servicios de irradiación realizados por CNEA.,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Capacidad Instalada y Generación de Energía Eléctrica de Fuentes Renovables,"Detalle de capacidad instalada y generación por central, tecnología, ubicación.",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Listado de Centrales de Generación de Fuentes Renovables Operativas,"Nombre del Proyecto, Tecnología, Empresa, Capacidad, Ubicación, Estado de Trámite de Autorización como Agente MEM.",Trimestral,2º semestre de 2016,Energía y Minería,Energía y Minería
Listado de Proyectos de EERR,"Nombre del Proyecto, Tecnología, Empresa, Capcacidad, Ubicación, Estado de Trámite de Autorización como Agente MEM.",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Mapa de Recurso Eólico,Mapa de distribución territorial de recurso eólico,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Mapa de Recurso Solar ,Mapa de distribución territorial de recurso solar,Anual,1º semestre de 2017,Energía y Minería,Energía y Minería
Mapas de Recursos Biomásicos,Mapa de distribución territorial de recurso biomásico,Anual,1º semestre de 2017,Energía y Minería,Energía y Minería
PERMER (Proyecto de Energías Renovales para Mercados Rurales),Listado de cantidad de instalaciones realizadas por provincia.,Trimestral,2º semestre de 2016,Energía y Minería,Energía y Minería
Puntos de Interés Geotérmico,Ubicación geográfica de puntos de interés geotérmico,Eventual,2º semestre de 2016,Energía y Minería,Energía y Minería
Autoproductores,Generación eléctrica por parte de autoproductores,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Centrales eléctricas,Ubicación geográfica de centrales eléctricas por tipo ,Eventual,2º semestre de 2016,Energía y Minería,Energía y Minería
Consumo de combustibles,Consumo de combustibles para generación eléctrica,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Generación eléctrica,Serie de generación eléctrica asociada a redes,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Potencia instalada,Potencia instalada de generación eléctrica por tipo y por región,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Catálogo de Proyectos Hidroeléctricos,Inventario de textos y planos correspondientes a proyectos hidroeléctricos.,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Mapa de pequeños aprovechamientos hidroeléctricos.,Capas geográficas con información sobre pequeños aprovechamientos hidroeléctricos (PAH).,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Estaciones transformadoras,Ubicación geográfica de estaciones transformadoras de media y alta tensión,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Líneas de Alta Tensión,Traza de líneas de alta tensión,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Programa Probiomasa,"Balance por radio censal de Energía derivada de la Biomasa WISDOM, La Pampa, Mendoza, Salta y Tucumán",Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Estadísticas de Biocombustibles,"Producción, ventas al mercado interno y exportaciones de bioetanol y de biodiésel",Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Plantas de biocombustibles, Plantas refinadoras y productoras de Aceite Vegetal","Ubicación geográfica de plantas de biocombustibles, plantas refinadoras y productoras de aceite vegetal",Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Precios de Biodiesel,Precios de venta del Biodiesel al mercado interno.,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Precios de Bioetanol,Precios de venta del Bioetanol al mercado interno.,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Entregas de gas natural por tipo de usuario,"Gas natural Entregado y Nro. Usuarios, por Tipo de Usuario.  (ENARGAS)",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Gas natural Entregado, por Area de Licencia", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Precios de GNC,Precios de GNC al Público.  (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Vehículos habilitados para GNC,Cantidad de Vehículos habilitados clasificados por provincia y tipo de vehículo.  (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Áreas de concesión de distribuidoras,Polígonos descriptivos de las áreas de concesión por distribuidora.,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Cantidad de usuarios de gas de red por segmento de calle,Capa geográfica con cantidad de usuarios conectados a la red de gas natural por cuadra.,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Demanda de grandes usuarios de gas natural,"Gas natural Entregado a Grandes Usuarios industriales, por Rama de actividad, provincia y Subzona Tarifaria. (ENARGAS)",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Demanda industrial de gas natural por rama,"Gas natural Entregado a Grandes Usuarios industriales, por Distribuidora y Rama de actividad.  (ENARGAS)",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
